ID	Sampling	Depth	SampleType	BlankType
AN1_1__16S	AN1_16S	338	Permafrost	Permafrost
AN1_2__16S	AN1_16S	338	Permafrost	Permafrost
AN3_1__16S	AN3_16S	341	Permafrost	Permafrost
AN5_1__16S	AN5_16S	340.5	Permafrost	Permafrost
AN5_2__16S	AN5_16S	340.5	Permafrost	Permafrost
AN6_1__16S	AN6_16S	339.5	Permafrost	Permafrost
AN6_2__16S	AN6_16S	339.5	Permafrost	Permafrost
AN8_1__16S	AN8_16S	338.5	Permafrost	Permafrost
AN8_2__16S	AN8_16S	338.5	Permafrost	Permafrost
AN9_1__16S	AN9_16S	0	Blank	Blank UG Water
AN9_2__16S	AN9_16S	0	Blank	Blank UG Water
AN10_2__16S	AN10_16S	337	Permafrost	Permafrost
AN11_2__16S	AN11_16S	341.5	Permafrost	Permafrost
AN12_1__16S	AN12_16S	337.5	Permafrost	Permafrost
AN12_2__16S	AN12_16S	337.5	Permafrost	Permafrost
